BackMop,A,B,S
87.51,0.00341995432972908,0.0379803034787377,202
88.56,0.00329461134970188,0.0506820802887281,322
89.6,0.00226223096251488,0.034856926339368,204
90.63,0.00444216839969158,0.0509920753538609,365
91.67,0.0031144879758358,0.048086965456605,15
92.66,0.00225106813013554,0.0462196959803502,12
93.64,0.00580624118447304,0.0451942669848601,106
94.58,0.0026137363165617,0.0478562153875828,59
95.5,0.00770151801407337,0.0413172493378321,82
96.55,0.00563110411167145,0.0430822800844908,72
97.57,0.00153909251093864,0.0479815384993951,-4
98.5,0.00424540042877197,0.0472556647534172,350
99.55,0.00329881720244884,0.0488298889249563,309
100.52,0.00417081080377102,0.0469805914908648,282
101.42,0.00289430096745491,0.0459640566259623,-12
102.42,0.00762977823615074,0.0488847307860851,306
103.5,0.00389055535197258,0.0435609991351763,-12
104.54,0.00813386775553226,0.0476711991553505,62
105.57,0.00722999684512615,0.0513651169215639,65
106.55,0.00520044006407261,0.0404800151785215,77
107.53,0.00237338244915009,0.0504870470613241,-4
108.47,0.00512164272367954,0.0411879767974218,1
109.41,0.00380299426615238,0.0481918249279261,218
110.44,0.00729606300592422,0.0454139666010936,3
111.43,0.00709598325192928,0.0460061052193244,310
112.43,0.00423204712569714,0.0449296344692508,55
113.57,0.00324513204395771,0.0494393827393651,327
114.6,0.00498410873115063,0.0439853062853217,283
115.5,0.00492537766695023,0.0436395288755496,104
116.47,0.00266261957585812,0.0426339503998558,367
117.52,0.00437365286052227,0.0464923987165093,96
118.55,0.00532705150544643,0.050958717862765,85
119.5,0.00320747308433056,0.046318504648904,-2
120.5,0.00531994178891182,0.049202732120951,81
121.43,0.00309987552464008,0.0419167581324776,311
122.46,0.00264780409634113,0.0463918261229992,96
123.5,0.00312919728457928,0.038940931049486,183
124.44,0.00336478278040886,0.0425465907901525,326
125.36,0.0015165526419878,0.0372663158923388,337
126.42,0.00451778713613749,0.0336293975512187,224
127.44,0.00502986088395119,0.0402871013308565,98
128.41,0.00224261917173862,0.0452280854806304,63
129.42,0.00494925305247307,0.0447260877117515,216
130.39,0.00401229597628117,0.0486436011269689,140
131.34,0.00371852517127991,0.0368218561634421,317
132.29,0.00511628948152065,0.0490766648824016,73
133.26,0.00283299572765827,0.045685928935806,-3
134.27,0.00365886650979519,0.0455594848220547,258
135.28,0.00201981514692307,0.0416459760939082,20
136.37,0.00306710787117481,0.0445372338096301,88
137.42,0.00153470411896706,0.0413145559529463,41
138.5,0.00294158421456814,0.0419914545491338,323
139.44,0.00400950200855732,0.0411556893959641,-15
140.39,0.00459159165620804,0.0390904322266579,283
141.37,0.0034635029733181,0.0360986099888881,251
142.41,0.00231096334755421,0.0372973854343096,54
143.5,0.00352178700268269,0.0400601880004009,234
144.36,0.000959744676947594,0.0370956488574545,55
145.37,0.00357140973210335,0.0393924688299497,103
146.31,0.00234837830066681,0.0369788371026516,292
